,time,baseline,S^2 case,S^2 case 0,S^2 all,S^2 probe 1,S^2 probe all,target,target
184,0.00112742,128.20924,128.20924,128.20924,128.20924,128.20924,128.20924,128.19872,128.19872
185,0.00112744,127.01405,127.01405,127.01405,127.01405,127.01405,127.01405,127.03271,127.03271
186,0.00112746,132.75423,137.86324,129.24345,127.68507,128.73532,138.15547,125.84472,125.84472
187,0.00112749,124.28782,124.28782,124.28782,124.28782,124.28782,124.28782,124.65917,124.65917
188,0.00112751,123.34262,123.34262,123.34262,123.34262,123.34262,123.34262,123.50561,123.50561
189,0.00112753,122.42065,122.42065,122.42065,122.42065,122.42065,122.42065,122.42065,122.42065
190,0.00112755,121.49672,121.49672,121.49672,121.49672,121.49672,121.49672,121.43677,121.43677
191,0.00112757,120.61963,120.61963,120.61963,120.61963,120.61963,120.61963,120.57958,120.57958
192,0.00112759,125.73605,130.57794,122.54088,120.82029,121.87244,131.49,119.85669,119.85669
193,0.00112762,119.004524,119.004524,119.004524,119.004524,119.004524,119.004524,119.239494,119.239494
194,0.00112764,118.57095,118.57095,118.57095,118.57095,118.57095,118.57095,118.69164,118.69164
195,0.00112766,118.180405,118.180405,118.180405,118.180405,118.180405,118.180405,118.180405,118.180405
196,0.00112768,117.77686,117.77686,117.77686,117.77686,117.77686,117.77686,117.644035,117.644035
197,0.0011277,117.30142,117.30142,117.30142,117.30142,117.30142,117.30142,117.03857,117.03857
198,0.00112773,120.99403,125.984276,118.63213,115.2653,117.11592,126.60685,116.32324,116.32324
199,0.00112775,115.43288,115.43288,115.43288,115.43288,115.43288,115.43288,115.459465,115.459465
200,0.00112777,114.41401,114.41401,114.41401,114.41401,114.41401,114.41401,114.45727,114.45727
201,0.00112779,113.35888,113.35888,113.35888,113.35888,113.35888,113.35888,113.35888,113.35888
202,0.00112781,112.34264,112.34264,112.34264,112.34264,112.34264,112.34264,112.21118,112.21118
203,0.00112783,111.37204,111.37204,111.37204,111.37204,111.37204,111.37204,111.06371,111.06371
204,0.00112786,116.03818,119.72308,112.80457,110.93593,112.120735,120.97861,109.979,109.979
205,0.00112788,109.09077,109.09077,109.09077,109.09077,109.09077,109.09077,109.01855,109.01855
206,0.0011279,108.29387,108.29387,108.29387,108.29387,108.29387,108.29387,108.23437,108.23437
207,0.00112792,107.659904,107.659904,107.659904,107.659904,107.659904,107.659904,107.659904,107.659904
208,0.00112794,107.24232,107.24232,107.24232,107.24232,107.24232,107.24232,107.28124,107.28124
209,0.00112797,106.97371,106.97371,106.97371,106.97371,106.97371,106.97371,107.05297,107.05297
210,0.00112799,110.54859,114.10551,108.075424,105.1275,106.600586,114.87032,106.97851,106.97851
211,0.00112801,107.089,107.089,107.089,107.089,107.089,107.089,107.04712,107.04712
212,0.00112803,107.279366,107.279366,107.279366,107.279366,107.279366,107.279366,107.24487,107.24487
213,0.00112805,107.526115,107.526115,107.526115,107.526115,107.526115,107.526115,107.526115,107.526115
214,0.00112807,107.81612,107.81612,107.81612,107.81612,107.81612,107.81612,107.87743,107.87743
215,0.0011281,108.397285,108.397285,108.397285,108.397285,108.397285,108.397285,108.35058,108.35058
216,0.00112812,109.869156,113.659,107.83652,103.99942,105.86759,114.112465,108.93848,108.93848
217,0.00112814,109.63527,109.63527,109.63527,109.63527,109.63527,109.63527,109.649895,109.649895
218,0.00112816,110.46415,110.46415,110.46415,110.46415,110.46415,110.46415,110.465576,110.465576
219,0.00112818,111.38916,111.38916,111.38916,111.38916,111.38916,111.38916,111.38916,111.38916
220,0.00112821,112.886536,112.886536,112.886536,112.886536,112.886536,112.886536,112.4602,112.4602
221,0.00112823,113.92466,113.92466,113.92466,113.92466,113.92466,113.92466,113.69018,113.69018
222,0.00112825,113.54217,116.93617,110.357376,108.49252,109.61496,118.148766,114.96996,114.96996
223,0.00112827,116.006516,116.006516,116.006516,116.006516,116.006516,116.006516,116.24682,116.24682
224,0.00112829,117.03943,117.03943,117.03943,117.03943,117.03943,117.03943,117.465324,117.465324
225,0.00112832,118.60473,118.60473,118.60473,118.60473,118.60473,118.60473,118.60473,118.60473
226,0.00112834,119.66853,119.66853,119.66853,119.66853,119.66853,119.66853,119.68285,119.68285
227,0.00112836,120.73206,120.73206,120.73206,120.73206,120.73206,120.73206,120.73437,120.73437
228,0.00112838,120.14467,124.157036,116.68377,115.320625,116.263596,125.423065,121.7727,121.7727
229,0.0011284,122.77217,122.77217,122.77217,122.77217,122.77217,122.77217,122.89257,122.89257
230,0.00112843,124.1937,124.1937,124.1937,124.1937,124.1937,124.1937,124.01196,124.01196
231,0.00112845,125.09472,125.09472,125.09472,125.09472,125.09472,125.09472,125.09472,125.09472
232,0.00112847,125.969986,125.969986,125.969986,125.969986,125.969986,125.969986,126.149895,126.149895
233,0.00112849,126.86052,126.86052,126.86052,126.86052,126.86052,126.86052,127.21678,127.21678
234,0.00112852,126.96344,131.83247,123.71253,121.93149,123.05821,132.68398,128.33104,128.33104
235,0.00112854,129.45863,129.45863,129.45863,129.45863,129.45863,129.45863,129.49046,129.49046
236,0.00112856,130.69128,130.69128,130.69128,130.69128,130.69128,130.69128,130.7019,130.7019
237,0.00112858,131.99756,131.99756,131.99756,131.99756,131.99756,131.99756,131.99756,131.99756
238,0.0011286,133.3496,133.3496,133.3496,133.3496,133.3496,133.3496,133.3894,133.3894
239,0.00112863,135.4356,135.4356,135.4356,135.4356,135.4356,135.4356,135.04295,135.04295
240,0.00112865,135.0136,139.82266,130.9196,130.39192,130.97044,139.8351,136.85081,136.85081
241,0.00112867,138.27238,138.27238,138.27238,138.27238,138.27238,138.27238,138.59642,138.59642
242,0.00112869,139.6802,139.6802,139.6802,139.6802,139.6802,139.6802,140.229,140.229
243,0.00112872,141.71777,141.71777,141.71777,141.71777,141.71777,141.71777,141.71777,141.71777
244,0.00112874,142.99474,142.99474,142.99474,142.99474,142.99474,142.99474,143.04442,143.04442
245,0.00112876,144.18245,144.18245,144.18245,144.18245,144.18245,144.18245,144.19873,144.19873
246,0.00112878,144.53539,149.0499,139.53317,139.5252,140.1009,148.84761,145.26074,145.26074
247,0.00112881,146.65894,146.65894,146.65894,146.65894,146.65894,146.65894,146.32567,146.32567
248,0.00112883,147.48459,147.48459,147.48459,147.48459,147.48459,147.48459,147.34691,147.34691
249,0.00112885,148.26392,148.26392,148.26392,148.26392,148.26392,148.26392,148.26392,148.26392
250,0.00112887,149.02594,149.02594,149.02594,149.02594,149.02594,149.02594,149.1262,149.1262
