,time,baseline,S^ case,S^ case 0,S^ all,S^2 probe 1,S^2 probe all,target,target
166,0.00112702,23.599161,23.599161,23.599161,23.599161,23.599161,23.599161,23.758762,23.758762
167,0.00112705,26.016537,26.016537,26.016537,26.016537,26.016537,26.016537,25.648653,25.648653
168,0.00112707,20.595484,21.421743,22.627996,24.278067,20.047083,20.868496,27.666233,27.666233
169,0.00112709,29.379726,29.379726,29.379726,29.379726,29.379726,29.379726,29.806368,29.806368
170,0.00112711,31.229424,31.229424,31.229424,31.229424,31.229424,31.229424,32.066135,32.066135
171,0.00112714,34.44089,34.44089,34.44089,34.44089,34.44089,34.44089,34.44089,34.44089
172,0.00112716,36.94604,36.94604,36.94604,36.94604,36.94604,36.94604,36.92331,36.92331
173,0.00112718,39.58903,39.58903,39.58903,39.58903,39.58903,39.58903,39.50144,39.50144
174,0.0011272,33.792416,33.268623,34.497993,37.33191,32.114445,35.031937,42.164036,42.164036
175,0.00112722,44.532093,44.532093,44.532093,44.532093,44.532093,44.532093,44.896214,44.896214
176,0.00112725,47.998283,47.998283,47.998283,47.998283,47.998283,47.998283,47.68894,47.68894
177,0.00112727,50.53684,50.53684,50.53684,50.53684,50.53684,50.53684,50.53684,50.53684
178,0.00112729,53.410667,53.410667,53.410667,53.410667,53.410667,53.410667,53.43137,53.43137
179,0.00112731,56.440487,56.440487,56.440487,56.440487,56.440487,56.440487,56.372776,56.372776
180,0.00112733,50.813828,48.640152,52.0904,54.375134,48.625294,52.567783,59.372044,59.372044
181,0.00112735,62.0301,62.0301,62.0301,62.0301,62.0301,62.0301,62.405003,62.405003
182,0.00112738,65.83704,65.83704,65.83704,65.83704,65.83704,65.83704,65.47629,65.47629
183,0.0011274,68.57542,68.57542,68.57542,68.57542,68.57542,68.57542,68.57542,68.57542
184,0.00112742,71.64862,71.64862,71.64862,71.64862,71.64862,71.64862,71.69285,71.69285
185,0.00112744,74.866875,74.866875,74.866875,74.866875,74.866875,74.866875,74.82126,74.82126
