,time,spline,prediction probe,prediction case,prediction cases across domain,target
175,0.011113022,4964.2476,4964.2476,4964.2476,4964.2476,4987.695
176,0.011114639,7589.1265,7589.1265,7589.1265,7589.1265,7342.945
177,0.011116227,8676.359,6218.127,1002.0598,5749.299,8676.359
178,0.011117809,7539.335,7539.335,7539.335,7539.335,8577.538
179,0.011119402,4990.6304,4990.6304,4990.6304,4990.6304,2332.3745
180,0.011121013,2244.601,2999.795,370.33902,163.73026,2244.601
181,0.011122627,323.42163,323.42163,323.42163,323.42163,2676.4292
182,0.011124208,-872.9147,-872.9147,-872.9147,-872.9147,1416.3745
183,0.011125777,-1771.3519,-505.86783,868.29156,-931.31744,-1771.3519
184,0.011127395,-2648.4106,-2648.4106,-2648.4106,-2648.4106,-933.0394
185,0.011129024,-3151.9753,-3151.9753,-3151.9753,-3151.9753,-2427.8284
186,0.011130653,-2796.8364,-3079.1045,-5869.825,1742.0488,-2796.8364
187,0.011132281,-1362.5184,-1362.5184,-1362.5184,-1362.5184,1146.109
188,0.011133903,338.4604,338.4604,338.4604,338.4604,866.4449
189,0.011135511,1255.7573,506.49854,-2094.8582,2055.1375,1255.7573
190,0.011137135,752.43964,752.43964,752.43964,752.43964,2136.4604
191,0.01113876,-270.65784,-270.65784,-270.65784,-270.65784,4297.2964
192,0.011140416,-488.84415,658.8836,-2242.613,-1422.1517,-488.84415
193,0.011142042,976.23987,976.23987,976.23987,976.23987,336.4293
194,0.011143625,3043.6296,3043.6296,3043.6296,3043.6296,4266.3667
195,0.011145171,4353.937,2418.7815,-383.0302,3923.5503,4353.937
196,0.011146685,4086.1475,4086.1475,4086.1475,4086.1475,-2740.4377
197,0.011148198,2893.0186,2893.0186,2893.0186,2893.0186,-2537.3596
198,0.011149747,1728.9292,2462.7683,58.271816,2767.255,1728.9292
199,0.011151359,1369.9471,1369.9471,1369.9471,1369.9471,5122.101
200,0.011152975,1427.7769,1427.7769,1427.7769,1427.7769,3221.8901
201,0.011154616,1119.445,1566.7379,2672.2715,1387.8319,1119.445
202,0.01115626,-140.00063,-140.00063,-140.00063,-140.00063,1986.148
203,0.011157899,-2014.1965,-2014.1965,-2014.1965,-2014.1965,-3185.7896
204,0.01115947,-3876.891,-1557.4523,2714.1943,1106.7655,-3876.891
205,0.011160947,-5180.58,-5180.58,-5180.58,-5180.58,-2763.0862
206,0.011162374,-5337.079,-5337.079,-5337.079,-5337.079,-3836.6409
207,0.011163869,-3552.9688,-5170.9355,-3678.2405,-4600.568,-3552.9688
208,0.011165422,699.854,699.854,699.854,699.854,-66.445694
209,0.011166985,5457.063,5457.063,5457.063,5457.063,3672.7183
210,0.011168586,8121.3506,4496.4004,3471.3767,7360.378,8121.3506
211,0.011170226,6618.614,6618.614,6618.614,6618.614,6648.9214
212,0.011171877,2700.9294,2700.9294,2700.9294,2700.9294,1047.3589
213,0.011173525,-714.75037,3327.564,3462.691,236.44727,-714.75037
214,0.011175173,-1422.259,-1422.259,-1422.259,-1422.259,5253.4604
215,0.011176787,-11.398456,-11.398456,-11.398456,-11.398456,5748.6787
216,0.011178368,2263.359,-920.0022,1538.2794,-3177.468,2263.359
217,0.011179941,4466.55,4466.55,4466.55,4466.55,5127.8354
218,0.011181536,6313.9585,6313.9585,6313.9585,6313.9585,5449.937
219,0.0111831,7582.374,4875.0947,3688.237,4508.564,7582.374
220,0.01118464,8179.328,8179.328,8179.328,8179.328,9421.022
221,0.011186173,8135.8774,8135.8774,8135.8774,8135.8774,7106.1094
222,0.011187696,7499.343,6510.2246,9373.797,6044.2026,7499.343
223,0.011189261,6367.323,6367.323,6367.323,6367.323,12625.983
224,0.011190804,5300.003,5300.003,5300.003,5300.003,12608.179
225,0.011192276,4891.601,5298.4526,6609.3296,2263.1646,4891.601
226,0.011193729,5404.894,5404.894,5404.894,5404.894,4954.0693
227,0.011195224,6393.45,6393.45,6393.45,6393.45,3818.757
228,0.011196786,7154.0693,4881.011,5690.971,3442.9143,7154.0693
229,0.011198367,6963.364,6963.364,6963.364,6963.364,8196.905
230,0.011199994,5646.955,5646.955,5646.955,5646.955,4516.2104
231,0.011201634,3212.3901,4668.984,4492.4043,4553.07,3212.3901
232,0.011203245,-10.202626,-10.202626,-10.202626,-10.202626,2440.9136
233,0.011204797,-2874.6562,-2874.6562,-2874.6562,-2874.6562,833.92926
