,time,spline,prediction probe,prediction one case,prediction all case,target
212,0.011139958,4177.7954,4177.7954,4177.7954,4177.7954,-295.0835
213,0.011141562,3340.268,5721.0293,153.55655,-105.2456,3340.268
214,0.011143167,1422.388,1422.388,1422.388,1422.388,6905.1196
215,0.011144766,-873.3609,-873.3609,-873.3609,-873.3609,-989.9585
216,0.011146357,-2641.9976,5553.107,58.1363,-167.62268,-2641.9976
217,0.011147981,-3255.9514,-3255.9514,-3255.9514,-3255.9514,2151.4478
218,0.01114961,-3049.3867,-3049.3867,-3049.3867,-3049.3867,-1294.5522
219,0.011151239,-2670.6694,4381.126,263.0881,456.82645,-2670.6694
220,0.011152833,-2554.8042,-2554.8042,-2554.8042,-2554.8042,5.830569
221,0.011154402,-2285.7632,-2285.7632,-2285.7632,-2285.7632,-340.48975
222,0.011155963,-1275.1069,1007.52936,560.9861,-154.85674,-1275.1069
223,0.011157537,835.5952,835.5952,835.5952,835.5952,-355.9663
224,0.011159112,3379.4946,3379.4946,3379.4946,3379.4946,1345.0259
225,0.011160668,5419.1353,4569.0728,512.7718,-1157.5917,5419.1353
226,0.011162248,6313.513,6313.513,6313.513,6313.513,10883.409
227,0.011163839,6190.6294,6190.6294,6190.6294,6190.6294,8472.15
228,0.011165434,5433.69,6718.841,529.60095,-3783.022,5433.69
229,0.011167002,4515.432,4515.432,4515.432,4515.432,13281.221
230,0.01116854,4094.0872,4094.0872,4094.0872,4094.0872,12755.198
231,0.011170076,4834.7837,8265.394,611.8318,-2644.3582,4834.7837
232,0.011171627,7075.7954,7075.7954,7075.7954,7075.7954,7093.846
233,0.011173203,9656.398,9656.398,9656.398,9656.398,10910.042
234,0.011174817,10899.245,10121.771,616.7301,-1175.8407,10899.245
235,0.011176459,9519.492,9519.492,9519.492,9519.492,9619.511
236,0.011178092,6758.973,6758.973,6758.973,6758.973,8400.447
237,0.01117971,4491.6196,10942.093,492.3643,930.34064,4491.6196
238,0.011181307,3891.5479,3891.5479,3891.5479,3891.5479,7602.432
239,0.011182916,3699.7495,3699.7495,3699.7495,3699.7495,8086.362
240,0.011184522,2081.276,10669.282,478.62585,844.77216,2081.276
241,0.011186166,-2275.0376,-2275.0376,-2275.0376,-2275.0376,-4069.7007
242,0.011187814,-7843.121,-7843.121,-7843.121,-7843.121,-5820.1772
243,0.011189439,-12327.998,3766.761,444.363,-1169.3933,-12327.998
244,0.011191024,-14052.931,-14052.931,-14052.931,-14052.931,-12493.717
245,0.011192602,-13043.059,-13043.059,-13043.059,-13043.059,-12810.404
246,0.011194182,-9562.404,567.17413,-401.61957,-1363.2169,-9562.404
247,0.011195763,-4199.536,-4199.536,-4199.536,-4199.536,-1286.1069
248,0.011197363,1158.9418,1158.9418,1158.9418,1158.9418,4728.651
